Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR11605263_2 - illumina_universal_adapter	(1, 2.5691836187824794e-05)	(2, 2.5691836187824794e-05)	(3, 2.5691836187824794e-05)	(4, 3.853775428173719e-05)	(5, 3.853775428173719e-05)	(6, 5.138367237564959e-05)	(7, 5.138367237564959e-05)	(8, 7.707550856347438e-05)	(9, 0.00010276734475129918)	(10, 0.00013488213998608017)	(12, 0.00014772805807999255)	(14, 0.00020553468950259836)	(16, 0.00021195764854955453)	(18, 0.00024407244378433552)	(20, 0.0002633413209252041)	(22, 0.0003211479523478099)	(24, 0.0003532627475825909)	(26, 0.0004110693790051967)	(28, 0.00045603009233389006)	(30, 0.0005266826418504082)	(32, 0.0006101811094608388)	(34, 0.0006551418227895322)	(36, 0.0007193714132590942)	(38, 0.0007707550856347438)	(40, 0.0008478305941982181)	(42, 0.0009184831437147364)	(44, 0.0009891356932312544)	(46, 0.0010919030379825537)	(48, 0.001201093341780809)	(50, 0.001355244358907758)	(52, 0.0014965494579407942)	(54, 0.0017406219017251298)	(56, 0.0019268877140868595)	(58, 0.002170960157871195)	(60, 0.002498531069265961)	(62, 0.0027682953492381215)	(64, 0.0032179024825250554)	(66, 0.0036675096158119893)	(68, 0.004309805520507609)	(70, 0.004791527449029324)	(72, 0.005555859575617111)	(74, 0.006345883538392724)	(76, 0.007155176378309204)	(78, 0.008195695743916109)	(80, 0.00908848705144302)	(82, 0.010463000287491647)	(84, 0.011798975769258535)	(86, 0.013276256350058462)	(88, 0.0153380262041314)	(90, 0.01761817666580085)	(92, 0.02020020620267724)	(94, 0.022679468394802338)	(96, 0.02540922598975872)	(98, 0.028614282554189865)	(100, 0.03232032992428359)	(102, 0.0366301354447912)	(104, 0.04090782617006403)	(106, 0.04571862249623422)	(108, 0.05112033105472438)	(110, 0.05684961052460931)	(112, 0.06328541548965942)	(114, 0.07045343778606253)	(116, 0.07757649936913696)	(118, 0.08600984459779046)	(120, 0.09509190869018652)	(122, 0.10544571867387992)	(124, 0.11638401793084631)	(126, 0.12836925951246658)	(128, 0.1419152801424972)	(130, 0.15582740943820433)	(132, 0.1708185958538001)	(134, 0.18713291183306885)	(136, 0.20507865941026443)	(138, 0.22506690796439213)
SRR11605263_kneaddata_paired_1 - illumina_universal_adapter	(1, 1.3344800965629797e-05)	(2, 1.3344800965629797e-05)	(3, 1.3344800965629797e-05)	(4, 1.3344800965629797e-05)	(5, 1.3344800965629797e-05)	(6, 2.6689601931259595e-05)	(7, 2.6689601931259595e-05)	(8, 5.337920386251919e-05)	(9, 8.006880579377878e-05)	(10, 0.00011343080820785328)	(12, 0.0001267756091734831)	(14, 0.00018682721351881716)	(16, 0.00018682721351881716)	(18, 0.00021351681545007676)	(20, 0.00023353401689852146)	(22, 0.00029358562124385553)	(24, 0.00032694762365793005)	(26, 0.0003469648251063747)	(28, 0.0003603096260720045)	(30, 0.0003669820265548194)	(32, 0.0004003440289688939)	(34, 0.0004003440289688939)	(36, 0.0004537232328314131)	(38, 0.00048708523524548764)	(40, 0.000533792038625192)	(42, 0.0005938436429705259)	(44, 0.0006472228468330451)	(46, 0.0007139468516611942)	(48, 0.0008273776598690474)	(50, 0.0009608256695253454)	(52, 0.0010342220748363095)	(54, 0.0012143768878723116)	(56, 0.0012811008927004607)	(58, 0.0014278937033223886)	(60, 0.00164808291925528)	(62, 0.0018615997347053567)	(64, 0.0022219093607773613)	(66, 0.0025622017854009214)	(68, 0.003035942219680779)	(70, 0.003429613848166858)	(72, 0.004090181495965533)	(74, 0.004757421544247023)	(76, 0.005451351194459773)	(78, 0.006412176863985118)	(80, 0.007199520120957276)	(82, 0.008387207406898328)	(84, 0.009614929095736269)	(86, 0.010962753993264879)	(88, 0.012837698528935865)	(90, 0.014859435875228779)	(92, 0.017061328034557698)	(94, 0.019403340604025723)	(96, 0.022012249192806352)	(98, 0.025088225815384023)	(100, 0.02873802887948377)	(102, 0.03289493438027745)	(104, 0.03689170226948357)	(106, 0.041562382607454006)	(108, 0.04665342417584177)	(110, 0.05219151657657814)	(112, 0.05833679742125066)	(114, 0.06522271471951563)	(116, 0.07210863201778062)	(118, 0.0802089262039179)	(120, 0.08870956441902408)	(122, 0.09856469993214169)	(124, 0.10907373069257516)	(126, 0.12068370753267307)	(128, 0.13367487127271366)	(130, 0.1471664650489654)	(132, 0.16169228090005344)	(134, 0.17755257684770448)	(136, 0.19529448973150926)	(138, 0.21473786473843187)
SRR11605263_kneaddata_paired_2 - illumina_universal_adapter	(1, 1.3344800965629797e-05)	(2, 1.3344800965629797e-05)	(3, 1.3344800965629797e-05)	(4, 1.3344800965629797e-05)	(5, 1.3344800965629797e-05)	(6, 2.6689601931259595e-05)	(7, 2.6689601931259595e-05)	(8, 5.337920386251919e-05)	(9, 8.006880579377878e-05)	(10, 0.00011343080820785328)	(12, 0.0001267756091734831)	(14, 0.00018682721351881716)	(16, 0.00018682721351881716)	(18, 0.00021351681545007676)	(20, 0.00023353401689852146)	(22, 0.00029358562124385553)	(24, 0.00032694762365793005)	(26, 0.0003469648251063747)	(28, 0.0003603096260720045)	(30, 0.0003669820265548194)	(32, 0.0004003440289688939)	(34, 0.0004003440289688939)	(36, 0.0004537232328314131)	(38, 0.0004937576357283025)	(40, 0.0005471368395908217)	(42, 0.0006071884439361558)	(44, 0.000660567647798675)	(46, 0.000720619252144009)	(48, 0.0008207052593862326)	(50, 0.0009541532690425306)	(52, 0.001054239276284754)	(54, 0.001254411290769201)	(56, 0.0013678420989770542)	(58, 0.001527979710564612)	(60, 0.0017681861279459483)	(62, 0.0019950477443616546)	(64, 0.002395391773330549)	(66, 0.0027823910013338128)	(68, 0.0033428726418902642)	(70, 0.0037365442703763433)	(72, 0.0044705083234859826)	(74, 0.005184455175147176)	(76, 0.005918419228256816)	(78, 0.006939296502127495)	(80, 0.007726639759099653)	(82, 0.008987723450351669)	(84, 0.010248807141603686)	(86, 0.011716735247822962)	(88, 0.013651731387839282)	(90, 0.015780227141857235)	(92, 0.018202308517119042)	(94, 0.02066442429527774)	(96, 0.023340056888886518)	(98, 0.026542809120637667)	(100, 0.030245991388599937)	(102, 0.03452300009808429)	(104, 0.03875330200418893)	(106, 0.04358411995374692)	(108, 0.048902023138550396)	(110, 0.054540201546528985)	(112, 0.06089232680616877)	(114, 0.0679784161189182)	(116, 0.0750578330311848)	(118, 0.08345171283856594)	(120, 0.09236603988360664)	(122, 0.10253477821941655)	(124, 0.11337075660350796)	(126, 0.12523428466195283)	(128, 0.13857908562758264)	(130, 0.152264179017836)	(132, 0.16716364929596167)	(134, 0.18338425486968468)	(136, 0.20133301216845675)	(138, 0.22112335200048575)
SRR11605264_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 5.270551090930288e-06)	(12, 3.162330654558173e-05)	(14, 7.905826636395432e-05)	(16, 0.00011595212400046634)	(18, 0.00021609259472814182)	(20, 0.0003794796785469807)	(22, 0.0005428667623658197)	(24, 0.0007115243972755889)	(26, 0.0008485587256397765)	(28, 0.0009170758898218701)	(30, 0.0010541102181860578)	(32, 0.001191144546550245)	(34, 0.0012543911596414087)	(36, 0.0013650727325509445)	(38, 0.0015073776120060624)	(40, 0.0017023880023704831)	(42, 0.0019132100460076947)	(44, 0.0022241725603725816)	(46, 0.0027670393227384013)	(48, 0.0035628925374688748)	(50, 0.004617002755654933)	(52, 0.00585558226202355)	(54, 0.00751053530457566)	(56, 0.00987701274440336)	(58, 0.012875956315142694)	(60, 0.016259650115519938)	(62, 0.02050244374371882)	(64, 0.025678124915012365)	(66, 0.03133869678667149)	(68, 0.03759484093160574)	(70, 0.04527403387109118)	(72, 0.053754350576398005)	(74, 0.06360501056534672)	(76, 0.07445707526157219)	(78, 0.08642649678907485)	(80, 0.10022479954513036)	(82, 0.11491382543555308)	(84, 0.13179540057980277)	(86, 0.15046369254387787)	(88, 0.17128763990414342)	(90, 0.1932921907087774)	(92, 0.21648261550887066)	(94, 0.24243480908061138)	(96, 0.2694780067281747)	(98, 0.29886132906011104)	(100, 0.33133319433133257)	(102, 0.3650910740687411)	(104, 0.401157455183977)	(106, 0.43994871121322393)	(108, 0.4813278078281176)	(110, 0.5261854681630254)	(112, 0.5738786849848535)	(114, 0.6265104081788833)	(116, 0.6820514755751067)	(118, 0.7416508673113464)	(120, 0.8049132920557827)	(122, 0.8721391712205986)	(124, 0.9430807889045202)	(126, 1.018386422891732)	(128, 1.0985198816782362)	(130, 1.1838659154936704)	(132, 1.2727801123976643)	(134, 1.3698425812882364)	(136, 1.471943697021738)	(138, 1.5778870445005277)
SRR11605264_2 - illumina_universal_adapter	(1, 1.0541102181860576e-05)	(2, 1.0541102181860576e-05)	(3, 1.0541102181860576e-05)	(4, 1.0541102181860576e-05)	(5, 1.0541102181860576e-05)	(6, 1.0541102181860576e-05)	(7, 1.0541102181860576e-05)	(8, 1.0541102181860576e-05)	(9, 1.0541102181860576e-05)	(10, 1.5811653272790865e-05)	(12, 3.162330654558173e-05)	(14, 7.378771527302404e-05)	(16, 0.00011595212400046634)	(18, 0.0002266336969100024)	(20, 0.0004163735361834927)	(22, 0.0005797606200023317)	(24, 0.0007958532147304734)	(26, 0.0009645108496402427)	(28, 0.0010541102181860578)	(30, 0.0012174973020048965)	(32, 0.0014177782434602474)	(34, 0.0015073776120060624)	(36, 0.001628600287097459)	(38, 0.001813069575280019)	(40, 0.0019975388634625793)	(42, 0.0022399842136453726)	(44, 0.0025878405856467716)	(46, 0.003167601205649103)	(48, 0.0039476427671067855)	(50, 0.005028105740747494)	(52, 0.0062983085536616945)	(54, 0.008058672618032411)	(56, 0.010509478875314995)	(58, 0.013561127956963633)	(60, 0.017039691676977622)	(62, 0.02142479018463162)	(64, 0.026853457808289818)	(66, 0.032672146212676854)	(68, 0.039139112401248316)	(70, 0.04714507950837143)	(72, 0.05590473542149757)	(74, 0.06578701871699186)	(76, 0.07711343301140106)	(78, 0.08937800539999582)	(80, 0.10343983571059784)	(82, 0.11844509466647636)	(84, 0.135558574058727)	(86, 0.15441133531098464)	(88, 0.1753354231419779)	(90, 0.19737159725315745)	(92, 0.22108907716234372)	(94, 0.2472362811244489)	(96, 0.2745640885309224)	(98, 0.3042478322750418)	(100, 0.3370306600606282)	(102, 0.37128397160058413)	(104, 0.40774037349654896)	(106, 0.44668974605852374)	(108, 0.48849575731178285)	(110, 0.533843578898147)	(112, 0.5816422067417939)	(114, 0.6340947311987319)	(116, 0.6894829526133184)	(118, 0.7491719437181039)	(120, 0.8123289574407215)	(122, 0.8794178022771733)	(124, 0.9506018653112778)	(126, 1.0253382797806692)	(128, 1.1053715980964456)	(130, 1.1908283134847895)	(132, 1.2791996436264172)	(134, 1.3754030126891679)	(136, 1.4765712408795748)	(138, 1.5818610400230892)
SRR11605264_2 - polyg	(1, 0.020365409415354634)	(2, 0.02085030011572022)	(3, 0.020945170035356966)	(4, 0.020997875546266268)	(5, 0.02106112215935743)	(6, 0.021124368772448596)	(7, 0.021155992078994178)	(8, 0.021271944202994643)	(9, 0.021430060735722553)	(10, 0.021582906717359532)	(12, 0.021841163720815113)	(14, 0.022057256315543255)	(16, 0.022204831746089303)	(18, 0.02230497221681698)	(20, 0.022463088749544887)	(22, 0.022631746384454657)	(24, 0.022784592366091636)	(26, 0.022884732836819313)	(28, 0.02303230826736536)	(30, 0.023137719289183963)	(32, 0.02321150700445699)	(34, 0.023353811883912105)	(36, 0.023485575661185365)	(38, 0.023564633927549317)	(40, 0.023670044949367926)	(42, 0.02375964431791374)	(44, 0.023859784788641415)	(46, 0.023944113606096298)	(48, 0.024065336281187694)	(50, 0.02417601785409723)	(52, 0.024228723365006533)	(54, 0.02433413438682514)	(56, 0.024423733755370956)	(58, 0.024576579737007935)	(60, 0.024724155167553982)	(62, 0.024808483985008865)	(64, 0.02488754225137282)	(66, 0.02500349437537329)	(68, 0.025093093743919104)	(70, 0.025187963663555846)	(72, 0.025346080196283753)	(74, 0.025462032320284222)	(76, 0.025541090586648177)	(78, 0.025704477670467015)	(80, 0.025852053101013062)	(82, 0.026025981287013764)	(84, 0.026189368370832602)	(86, 0.02634221435246958)	(88, 0.026500330885197487)	(90, 0.02667425907119819)	(92, 0.026890351665926328)	(94, 0.027227666935745867)	(96, 0.02764404047192936)	(98, 0.02821325998974983)	(100, 0.028887890529388907)	(102, 0.029715367050664965)	(104, 0.030811641677578466)	(106, 0.032018597877401495)	(108, 0.03362084540904431)	(110, 0.03566581923232526)	(112, 0.038016485018880164)	(114, 0.04073608938180019)	(116, 0.04397747830272232)	(118, 0.04739806596073608)	(120, 0.05169356509984427)	(122, 0.056510848796954546)	(124, 0.06203965689134042)	(126, 0.06785834529572746)	(128, 0.07485236659339195)	(130, 0.08281089874069669)	(132, 0.09180772945291468)	(134, 0.10194826975186456)	(136, 0.11327468404627375)	(138, 0.12651430838669064)
SRR11605264_kneaddata_paired_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 5.531332008911197e-06)	(12, 1.6593996026733593e-05)	(14, 4.978198808020078e-05)	(16, 6.637598410693437e-05)	(18, 0.00011615797218713514)	(20, 0.0001770026242851583)	(22, 0.00028762926446338226)	(24, 0.00043144389669507333)	(26, 0.0005088825448198301)	(28, 0.0005476018688822086)	(30, 0.0006416345130336989)	(32, 0.0007688551492386563)	(34, 0.0008075744733010348)	(36, 0.0008905444534347028)	(38, 0.0010122337576307491)	(40, 0.0011339230618267952)	(42, 0.0012998630220941313)	(44, 0.001576429622539691)	(46, 0.0020687181713327876)	(48, 0.0027656660044555986)	(50, 0.0037613057660596137)	(52, 0.004950542147975521)	(54, 0.006554628430559768)	(56, 0.008888850538320295)	(58, 0.011759611850945205)	(60, 0.015072879724283013)	(62, 0.019210316066948587)	(64, 0.024221702867022132)	(66, 0.029725378215888772)	(68, 0.03592047006586932)	(70, 0.04344861292999745)	(72, 0.05166264096323058)	(74, 0.06122631400663804)	(76, 0.07186306545977428)	(78, 0.083589489318666)	(80, 0.09709147075241825)	(82, 0.11150059063563192)	(84, 0.1281830879745081)	(86, 0.14655264157610215)	(88, 0.16699644468103794)	(90, 0.18860735883985402)	(92, 0.21145729136866614)	(94, 0.23701204524983588)	(96, 0.26368412819680564)	(98, 0.2927236212435894)	(100, 0.32483300355531897)	(102, 0.35837500085735646)	(104, 0.394157187623003)	(106, 0.4324893184447576)	(108, 0.4735152079548519)	(110, 0.517610986729892)	(112, 0.5648540934180025)	(114, 0.617020085594044)	(116, 0.6719683377705679)	(118, 0.7309046803255167)	(120, 0.7934308573542488)	(122, 0.8598787487772991)	(124, 0.9296509707377049)	(126, 1.003886977629302)	(128, 1.0830182133487858)	(130, 1.1669838332440576)	(132, 1.2546443829212823)	(134, 1.3503806773315172)	(136, 1.4510951705497723)	(138, 1.555266746273597)
SRR11605264_kneaddata_paired_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 5.531332008911197e-06)	(12, 1.6593996026733593e-05)	(14, 4.425065607128958e-05)	(16, 5.531332008911197e-05)	(18, 0.00010509530816931275)	(20, 0.0001659399602673359)	(22, 0.00027103526843664865)	(24, 0.000420381232677251)	(26, 0.0005033512128109189)	(28, 0.0005476018688822086)	(30, 0.0006416345130336989)	(32, 0.0007854491452653899)	(34, 0.000840762465354502)	(36, 0.0009182011134792588)	(38, 0.0010343590856663938)	(40, 0.0011449857258446178)	(42, 0.0013330510141475985)	(44, 0.0016096176145931583)	(46, 0.0021185001594129886)	(48, 0.0028154479925357996)	(50, 0.003811087754139815)	(52, 0.005016918132082456)	(54, 0.0066375984106934365)	(56, 0.008988414514480694)	(58, 0.011881301155141251)	(60, 0.015266476344594904)	(62, 0.019525601991456525)	(64, 0.024708460083806318)	(66, 0.03026744875276207)	(68, 0.03657869857492975)	(70, 0.04426725006731631)	(72, 0.05273571937295935)	(74, 0.06249852036868762)	(76, 0.07346162041034962)	(78, 0.08542036021361561)	(80, 0.09909934427165301)	(82, 0.11369652944316966)	(84, 0.1306058113944112)	(86, 0.1491413049562726)	(88, 0.1696459527133064)	(90, 0.19155555880060365)	(92, 0.2147484339139683)	(94, 0.24052444107549448)	(96, 0.26750627861496334)	(98, 0.29694955889839764)	(100, 0.3293631644706172)	(102, 0.36332554300533193)	(104, 0.3996553316398607)	(106, 0.4382197784059896)	(108, 0.4797600817929127)	(110, 0.5246136530531735)	(112, 0.5721167323457029)	(114, 0.6240891279014326)	(116, 0.6792088513702326)	(118, 0.7384715425137072)	(120, 0.8013627874550275)	(122, 0.8681591527946391)	(124, 0.9388882951925865)	(126, 1.0133123673724869)	(128, 1.0929137663127277)	(130, 1.1777256800053633)	(132, 1.265624076958971)	(134, 1.3609455214685378)	(136, 1.4614830120625075)	(138, 1.565787339754546)
SRR11605265_1 - illumina_universal_adapter	(1, 0.0013169162114499199)	(2, 0.001333174436282635)	(3, 0.001365690885948065)	(4, 0.0014469820101116403)	(5, 0.0015770478087733608)	(6, 0.001642080708104221)	(7, 0.0017071136074350813)	(8, 0.0023737008255763988)	(9, 0.002438733724907259)	(10, 0.004389720704833067)	(12, 0.006405740584089733)	(14, 0.00796653016803038)	(16, 0.008234790877770178)	(18, 0.008608730048922625)	(20, 0.009177767918067651)	(22, 0.009763064012045394)	(24, 0.0107954612889228)	(26, 0.011697792767138487)	(28, 0.014713693473607129)	(30, 0.018908315480447614)	(32, 0.040970726578441946)	(34, 0.043718366575170794)	(36, 0.04396223994766152)	(38, 0.04439308290572847)	(40, 0.04484018408862814)	(42, 0.04554741686885124)	(44, 0.04667736349472494)	(46, 0.048116216392420225)	(48, 0.05077443615256913)	(50, 0.0539204026576995)	(52, 0.058139412001789056)	(54, 0.06392734004223562)	(56, 0.07119476654245925)	(58, 0.07936452452089857)	(60, 0.08882681137353873)	(62, 0.09993930804669948)	(64, 0.11283208033904252)	(66, 0.1280172623327984)	(68, 0.14565743627629424)	(70, 0.166638675422913)	(72, 0.1889937345678962)	(74, 0.21426714507035177)	(76, 0.24170289947555845)	(78, 0.2708945421626983)	(80, 0.3043539688684259)	(82, 0.34071548870679313)	(84, 0.3794344511459041)	(86, 0.422087903994532)	(88, 0.46924488512182205)	(90, 0.5197348023398187)	(92, 0.573037392453875)	(94, 0.6302256983029503)	(96, 0.6923483753887545)	(98, 0.7617466080871987)	(100, 0.8351037185324091)	(102, 0.9130700357176942)	(104, 0.9995637918277382)	(106, 1.090211524382541)	(108, 1.188980240241285)	(110, 1.295569162244565)	(112, 1.4071249719342394)	(114, 1.5289803670554387)	(116, 1.660224887017531)	(118, 1.7985661221191034)	(120, 1.9497920004006026)	(122, 2.1106264895582365)	(124, 2.284426913019961)	(126, 2.471998052914994)	(128, 2.6713482767013295)	(130, 2.885599163546849)	(132, 3.112377012625975)	(134, 3.348958571279228)	(136, 3.6038468910941184)	(138, 3.8800985183391963)
SRR11605265_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0025037666242381192)	(4, 0.003836941060520754)	(5, 0.004324687805502206)	(6, 0.004536044728327502)	(7, 0.004682368751821937)	(8, 0.004861209224981803)	(9, 0.004942500349145378)	(10, 0.0051294699347216016)	(12, 0.005194502834052462)	(14, 0.005251406620966965)	(16, 0.005340826857546897)	(18, 0.005373343307212328)	(20, 0.0054302470941268305)	(22, 0.005487150881041333)	(24, 0.005576571117621266)	(26, 0.005600958454870338)	(28, 0.005665991354201198)	(30, 0.005747282478364774)	(32, 0.005787928040446561)	(34, 0.005844831827361064)	(36, 0.005877348277026495)	(38, 0.005909864726691924)	(40, 0.005942381176357354)	(42, 0.005974897626022785)	(44, 0.0060887051998517894)	(46, 0.0067146468559113204)	(48, 0.007243039162974559)	(50, 0.010380876555688565)	(52, 0.015209569331004938)	(54, 0.024208496775912726)	(56, 0.02478566375747411)	(58, 0.025370959851451852)	(60, 0.02571238257293887)	(62, 0.025826190146767875)	(64, 0.026452131802827402)	(66, 0.030191523514351865)	(68, 0.05904174348000474)	(70, 0.4425895255085857)	(72, 0.7679491208608795)	(74, 0.8417533324889895)	(76, 0.857727038387132)	(78, 0.8666040291457946)	(80, 0.8734080962382857)	(82, 0.8782530472384349)	(84, 0.8852278256916697)	(86, 0.888511987107878)	(88, 0.8909344626079526)	(90, 0.8921294421331571)	(92, 0.8936008114805178)	(94, 0.8946250796449788)	(96, 0.8960070287557598)	(98, 0.8987709269773212)	(100, 0.9018518605831207)	(102, 0.9125497725230473)	(104, 0.923320846474721)	(106, 0.9253287372415613)	(108, 0.9262473269446097)	(110, 0.9271984330973235)	(112, 0.9281820556997028)	(114, 0.9293932934497401)	(116, 0.9307833716729372)	(118, 0.9342219862250565)	(120, 0.936441233914722)	(122, 0.9404732736732354)	(124, 0.9445297007689978)	(126, 0.9512199602876601)	(128, 0.9609423787376237)	(130, 0.9666327574290738)	(132, 0.9772249909075879)	(134, 0.9883537458055812)	(136, 1.005172879395025)	(138, 1.0189435958283346)
SRR11605265_2 - illumina_universal_adapter	(1, 0.0013169162114499199)	(2, 0.001333174436282635)	(3, 0.001365690885948065)	(4, 0.0014469820101116403)	(5, 0.0015770478087733608)	(6, 0.001642080708104221)	(7, 0.0017071136074350813)	(8, 0.002406217275241829)	(9, 0.002471250174572689)	(10, 0.004389720704833067)	(12, 0.0064138696965060915)	(14, 0.008007175730112167)	(16, 0.008283565552268323)	(18, 0.008673762948253484)	(20, 0.009259059042231227)	(22, 0.00990938803553983)	(24, 0.011006818211748096)	(26, 0.012039215488625502)	(28, 0.015144536431674079)	(30, 0.019363545775763637)	(32, 0.041027630365356456)	(34, 0.044872700538293564)	(36, 0.04523851059702966)	(38, 0.04574251556684382)	(40, 0.04623026231182527)	(42, 0.04703504444104467)	(44, 0.04818937840416744)	(46, 0.04967700597636086)	(48, 0.05234335484892613)	(50, 0.05557874159063643)	(52, 0.059862783834056854)	(54, 0.06565884098691976)	(56, 0.07295878393680882)	(58, 0.0811366710276645)	(60, 0.09072089456655003)	(62, 0.10205287727495244)	(64, 0.11480745465621739)	(66, 0.130122702448635)	(68, 0.14790920041562527)	(70, 0.16879289021324775)	(72, 0.1910422708968183)	(74, 0.2164213598606865)	(76, 0.2438733724907259)	(78, 0.27325198476344204)	(80, 0.30705283419065665)	(82, 0.3435281616028528)	(84, 0.3823771898406255)	(86, 0.4254045818604059)	(88, 0.4727078870111904)	(90, 0.5232384497912688)	(92, 0.576264650083169)	(94, 0.633493601494326)	(96, 0.6961853164492753)	(98, 0.765437225124225)	(100, 0.8387455608949372)	(102, 0.9169720096775458)	(104, 1.0036608644855824)	(106, 1.0939671743188981)	(108, 1.1928253104142221)	(110, 1.2994467488671675)	(112, 1.411075720568589)	(114, 1.532687242317298)	(116, 1.6636635015696504)	(118, 1.8013381494530813)	(120, 1.9522795088000082)	(122, 2.1132440637563037)	(124, 2.2859633152666516)	(126, 2.4732499362271128)	(128, 2.671665312085568)	(130, 2.884631799169302)	(132, 3.1108080939296174)	(134, 3.3472189412221276)	(136, 3.600684666364155)	(138, 3.8753267293507943)
SRR11605265_2 - polya	(1, 0.0009592352651301885)	(2, 0.0017233718322677964)	(3, 0.002422475500074544)	(4, 0.003479260114201023)	(5, 0.004763659875985512)	(6, 0.006600839282082315)	(7, 0.00918589703048401)	(8, 0.011770954778885704)	(9, 0.0134943266111535)	(10, 0.016306999507213205)	(12, 0.019005864829443907)	(14, 0.022826547665131945)	(16, 0.025614833223942576)	(18, 0.0294192578347979)	(20, 0.0340122063500399)	(22, 0.039271742083423225)	(24, 0.05469266833725346)	(26, 0.0611553127082577)	(28, 0.06508980311777474)	(30, 0.06926003778736615)	(32, 0.07554384168521053)	(34, 0.07948646120714394)	(36, 0.08197396960654933)	(38, 0.084103797059635)	(40, 0.08667259658320398)	(42, 0.08903816829636403)	(44, 0.09140374000952406)	(46, 0.09398066864550941)	(48, 0.0972729591741342)	(50, 0.0996466599997106)	(52, 0.10147571029339106)	(54, 0.10268694804342832)	(56, 0.10441844898811248)	(58, 0.10625562839420928)	(60, 0.10870249123153289)	(62, 0.11168587548833611)	(64, 0.11679908719822499)	(66, 0.126984865055921)	(68, 0.1412595864590448)	(70, 0.15539611295109054)	(72, 0.1626960559009796)	(74, 0.16524859719971585)	(76, 0.16664680453532937)	(78, 0.16777675116120305)	(80, 0.1686872117518351)	(82, 0.16990657861428873)	(84, 0.171117816364326)	(86, 0.17245911991302498)	(88, 0.1735321627519842)	(90, 0.17464585115302517)	(92, 0.17614973695005132)	(94, 0.17732845825042315)	(96, 0.17840963020179873)	(98, 0.17968590085116687)	(100, 0.1808239765894569)	(102, 0.18177508274217072)	(104, 0.18284812558112992)	(106, 0.18573396048893687)	(108, 0.18720532983629756)	(110, 0.18856289160982925)	(112, 0.1894001901887141)	(114, 0.19029439255451341)	(116, 0.19181453657637226)	(118, 0.193172098349904)	(120, 0.19444836899927212)	(122, 0.19565960674930938)	(124, 0.19651316355302695)	(126, 0.1977244013030642)	(128, 0.199106350413845)	(130, 0.20117927408001615)	(132, 0.20218728401964448)	(134, 0.20650384271273034)	(136, 0.20737365774128058)	(138, 0.20839792590574163)
SRR11605265_2 - polyg	(1, 0.7496504888116587)	(2, 0.7515039264425882)	(3, 0.7516177340164172)	(4, 0.751796574489577)	(5, 0.751975414962737)	(6, 0.752203030110395)	(7, 0.7523656123587221)	(8, 0.752658260405711)	(9, 0.7541377588654881)	(10, 0.7568366241877188)	(12, 0.7660225212182028)	(14, 0.7708837304431846)	(16, 0.7714608974247459)	(18, 0.7718429657083148)	(20, 0.7719974188442256)	(22, 0.7722331631042999)	(24, 0.7724282618022925)	(26, 0.7725420693761216)	(28, 0.7726640060623668)	(30, 0.7727696845237795)	(32, 0.7728428465355268)	(34, 0.7729647832217721)	(36, 0.7730867199080175)	(38, 0.7731598819197647)	(40, 0.7732330439315118)	(42, 0.7733631097301736)	(44, 0.7735419502033335)	(46, 0.7736557577771626)	(48, 0.7737533071261588)	(50, 0.7741028589600623)	(52, 0.7749157702016979)	(54, 0.7756717776564191)	(56, 0.776533463572553)	(58, 0.7773707621514379)	(60, 0.7783706429786499)	(62, 0.7793949111431109)	(64, 0.7807768602538916)	(66, 0.7813458981230368)	(68, 0.7818173866431855)	(70, 0.7822726169385015)	(72, 0.7829798497187246)	(74, 0.7843048950425908)	(76, 0.7863127858094312)	(78, 0.7885889372860113)	(80, 0.7939216350311418)	(82, 0.8022946208199901)	(84, 0.8121796215182808)	(86, 0.8190974961846011)	(88, 0.827234737713375)	(90, 0.8359166297740448)	(92, 0.8437368359185808)	(94, 0.8515245256134513)	(96, 0.8584505293921878)	(98, 0.8643929105685453)	(100, 0.8706441980167241)	(102, 0.8772043917367247)	(104, 0.8839352968174687)	(106, 0.8923407990559824)	(108, 0.9027541920613364)	(110, 0.9139886254207426)	(112, 0.925686418187881)	(114, 0.9379288614869155)	(116, 0.9504151781584407)	(118, 0.9633242086756164)	(120, 0.9772412491324205)	(122, 0.9930848892319013)	(124, 1.0120338502744306)	(126, 1.033413415929451)	(128, 1.0545491082119804)	(130, 1.0785625062899007)	(132, 1.1064372327655907)	(134, 1.1338892453956302)	(136, 1.165787882517417)	(138, 1.2006292583339255)
