Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
SRR11605264_kneaddata_paired_2	(24.0, 1.0)	(25.0, 0.0)	(26.0, 48.0)	(27.0, 501.0)	(28.0, 2568.0)	(29.0, 9879.0)	(30.0, 30106.0)	(31.0, 78861.0)	(32.0, 173072.0)	(33.0, 349832.0)	(34.0, 767658.0)	(35.0, 2404876.0)	(36.0, 5097469.0)	(37.0, 124543.0)													
SRR11605265_1	(15.0, 1.0)	(16.0, 16.0)	(17.0, 41.0)	(18.0, 68.0)	(19.0, 116.0)	(20.0, 178.0)	(21.0, 322.0)	(22.0, 558.0)	(23.0, 1016.0)	(24.0, 2256.0)	(25.0, 4910.0)	(26.0, 9686.0)	(27.0, 18252.0)	(28.0, 31430.0)	(29.0, 49249.0)	(30.0, 70593.0)	(31.0, 99503.0)	(32.0, 171212.0)	(33.0, 208164.0)	(34.0, 320284.0)	(35.0, 773847.0)	(36.0, 4172330.0)	(37.0, 216701.0)				
SRR11605265_2	(12.0, 2.0)	(13.0, 27.0)	(14.0, 100.0)	(15.0, 204.0)	(16.0, 369.0)	(17.0, 645.0)	(18.0, 1249.0)	(19.0, 2183.0)	(20.0, 3779.0)	(21.0, 5714.0)	(22.0, 8802.0)	(23.0, 13333.0)	(24.0, 18644.0)	(25.0, 23828.0)	(26.0, 28770.0)	(27.0, 35705.0)	(28.0, 45508.0)	(29.0, 61891.0)	(30.0, 86895.0)	(31.0, 127878.0)	(32.0, 192837.0)	(33.0, 311553.0)	(34.0, 604150.0)	(35.0, 1621803.0)	(36.0, 2929528.0)	(37.0, 25336.0)	
SRR11605265_kneaddata_paired_1	(25.0, 1.0)	(26.0, 4.0)	(27.0, 123.0)	(28.0, 985.0)	(29.0, 4921.0)	(30.0, 16439.0)	(31.0, 41450.0)	(32.0, 81665.0)	(33.0, 146869.0)	(34.0, 274368.0)	(35.0, 738955.0)	(36.0, 4178358.0)	(37.0, 217829.0)														
SRR11605265_kneaddata_paired_2	(25.0, 8.0)	(26.0, 72.0)	(27.0, 411.0)	(28.0, 2318.0)	(29.0, 8842.0)	(30.0, 25510.0)	(31.0, 63579.0)	(32.0, 136620.0)	(33.0, 273334.0)	(34.0, 575999.0)	(35.0, 1623376.0)	(36.0, 2966639.0)	(37.0, 25259.0)														
SRR11605266_1	(13.0, 1.0)	(14.0, 9.0)	(15.0, 115.0)	(16.0, 277.0)	(17.0, 485.0)	(18.0, 614.0)	(19.0, 676.0)	(20.0, 884.0)	(21.0, 1143.0)	(22.0, 1514.0)	(23.0, 2283.0)	(24.0, 4115.0)	(25.0, 7747.0)	(26.0, 14417.0)	(27.0, 24781.0)	(28.0, 39422.0)	(29.0, 57077.0)	(30.0, 79211.0)	(31.0, 106533.0)	(32.0, 145219.0)	(33.0, 204516.0)	(34.0, 332649.0)	(35.0, 821881.0)	(36.0, 5647800.0)	(37.0, 241145.0)		
SRR11605266_2	(12.0, 44.0)	(13.0, 222.0)	(14.0, 281.0)	(15.0, 316.0)	(16.0, 445.0)	(17.0, 560.0)	(18.0, 687.0)	(19.0, 926.0)	(20.0, 1280.0)	(21.0, 2062.0)	(22.0, 3654.0)	(23.0, 6100.0)	(24.0, 9781.0)	(25.0, 13970.0)	(26.0, 18720.0)	(27.0, 25253.0)	(28.0, 34446.0)	(29.0, 48162.0)	(30.0, 67065.0)	(31.0, 96740.0)	(32.0, 144527.0)	(33.0, 233015.0)	(34.0, 460566.0)	(35.0, 1526301.0)	(36.0, 4853239.0)	(37.0, 186152.0)	
SRR11605266_kneaddata_paired_1	(26.0, 10.0)	(27.0, 157.0)	(28.0, 1109.0)	(29.0, 6093.0)	(30.0, 20777.0)	(31.0, 52444.0)	(32.0, 102525.0)	(33.0, 178231.0)	(34.0, 320045.0)	(35.0, 823151.0)	(36.0, 5649441.0)	(37.0, 242787.0)															
SRR11605266_kneaddata_paired_2	(25.0, 4.0)	(26.0, 30.0)	(27.0, 263.0)	(28.0, 1391.0)	(29.0, 5634.0)	(30.0, 17517.0)	(31.0, 46585.0)	(32.0, 103164.0)	(33.0, 208044.0)	(34.0, 448538.0)	(35.0, 1520788.0)	(36.0, 4858173.0)	(37.0, 186639.0)														
SRR11605267_1	(13.0, 1.0)	(14.0, 5.0)	(15.0, 74.0)	(16.0, 196.0)	(17.0, 347.0)	(18.0, 566.0)	(19.0, 756.0)	(20.0, 872.0)	(21.0, 1141.0)	(22.0, 1625.0)	(23.0, 2276.0)	(24.0, 3796.0)	(25.0, 6514.0)	(26.0, 10706.0)	(27.0, 17967.0)	(28.0, 28196.0)	(29.0, 41649.0)	(30.0, 60175.0)	(31.0, 87961.0)	(32.0, 156710.0)	(33.0, 218147.0)	(34.0, 338382.0)	(35.0, 875283.0)	(36.0, 3328240.0)	(37.0, 160236.0)		
SRR11605267_2	(11.0, 3.0)	(12.0, 55.0)	(13.0, 241.0)	(14.0, 440.0)	(15.0, 606.0)	(16.0, 1086.0)	(17.0, 2054.0)	(18.0, 3965.0)	(19.0, 6988.0)	(20.0, 10658.0)	(21.0, 14897.0)	(22.0, 21759.0)	(23.0, 31312.0)	(24.0, 42849.0)	(25.0, 53580.0)	(26.0, 62932.0)	(27.0, 74874.0)	(28.0, 92459.0)	(29.0, 119198.0)	(30.0, 157868.0)	(31.0, 213225.0)	(32.0, 300002.0)	(33.0, 446826.0)	(34.0, 731280.0)	(35.0, 1334491.0)	(36.0, 1589436.0)	(37.0, 28737.0)
SRR11605267_kneaddata_paired_1	(26.0, 4.0)	(27.0, 80.0)	(28.0, 587.0)	(29.0, 2798.0)	(30.0, 9377.0)	(31.0, 25015.0)	(32.0, 53320.0)	(33.0, 108755.0)	(34.0, 245938.0)	(35.0, 770052.0)	(36.0, 3256049.0)	(37.0, 159963.0)															
SRR11605267_kneaddata_paired_2	(25.0, 14.0)	(26.0, 257.0)	(27.0, 1653.0)	(28.0, 7299.0)	(29.0, 24311.0)	(30.0, 62617.0)	(31.0, 136736.0)	(32.0, 253869.0)	(33.0, 433453.0)	(34.0, 736725.0)	(35.0, 1346322.0)	(36.0, 1600488.0)	(37.0, 28194.0)														
