Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR11605265_2	(1.0, 21.99002460142254)	(2.0, 8.709519451273518)	(3.0, 6.200295923844867)	(4.0, 4.831777912886483)	(5.0, 4.049702357804428)	(6.0, 3.4076145071369495)	(7.0, 2.891176624169598)	(8.0, 2.5759256866336275)	(9.0, 2.2288424616790135)	('>10', 29.527140218318888)	('>50', 7.427653808104051)	('>100', 5.879931018794949)	('>500', 0.20717260976732288)	('>1k', 0.0732228181638116)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605265_kneaddata_paired_1	(1.0, 15.21856585659203)	(2.0, 9.362450241154047)	(3.0, 7.097546590147598)	(4.0, 5.284443027077454)	(5.0, 4.448553753400048)	(6.0, 3.729613776467172)	(7.0, 3.196142162518671)	(8.0, 2.795529220229238)	(9.0, 2.504404336813295)	('>10', 32.16096305525416)	('>50', 7.783603541171652)	('>100', 6.13846854999119)	('>500', 0.250161944829931)	('>1k', 0.02955394435351684)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605265_kneaddata_paired_2	(1.0, 18.358369298734093)	(2.0, 9.215612866578539)	(3.0, 6.583312033965369)	(4.0, 5.143911333866903)	(5.0, 4.235840701529865)	(6.0, 3.6067372492179888)	(7.0, 3.0657565676676928)	(8.0, 2.7240905831430404)	(9.0, 2.3577313007292093)	('>10', 30.92090970046726)	('>50', 7.644805021045379)	('>100', 5.918710036452707)	('>500', 0.20062698346286842)	('>1k', 0.02358632313913779)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605266_1	(1.0, 17.42693964398988)	(2.0, 10.017997592477382)	(3.0, 7.2588766094754815)	(4.0, 5.705714844441238)	(5.0, 4.44659703463845)	(6.0, 3.760764171766715)	(7.0, 3.1776037798720744)	(8.0, 2.8041538047716084)	(9.0, 2.4047244074028296)	('>10', 29.655894642661647)	('>50', 7.1169756951000736)	('>100', 5.725953539492333)	('>500', 0.40358233789952214)	('>1k', 0.09422189601088977)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605266_2	(1.0, 18.83235011298803)	(2.0, 10.130665529357419)	(3.0, 7.288730793035122)	(4.0, 5.496752867002501)	(5.0, 4.302185046885886)	(6.0, 3.746713954294262)	(7.0, 3.173464380625236)	(8.0, 2.7063510004830715)	(9.0, 2.3621461033997613)	('>10', 29.086372049537857)	('>50', 6.792269956639488)	('>100', 5.6095584899641375)	('>500', 0.39827036288235024)	('>1k', 0.07416935290488237)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605266_kneaddata_paired_1	(1.0, 16.059216555661774)	(2.0, 10.30847604801108)	(3.0, 7.480786918934239)	(4.0, 5.8072227745221605)	(5.0, 4.565528090463067)	(6.0, 3.886060470245202)	(7.0, 3.2463259073540347)	(8.0, 2.7976252452921444)	(9.0, 2.5293285679901514)	('>10', 30.052750011744777)	('>50', 7.103356155152553)	('>100', 5.685999127811217)	('>500', 0.3810556744298856)	('>1k', 0.09626845238770218)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605266_kneaddata_paired_2	(1.0, 17.22956380476717)	(2.0, 10.418821828437054)	(3.0, 7.4951308394577225)	(4.0, 5.663159261948862)	(5.0, 4.457833572863292)	(6.0, 3.776088453354846)	(7.0, 3.2525416519281305)	(8.0, 2.7898374834806234)	(9.0, 2.454944861894409)	('>10', 29.600371711865847)	('>50', 6.847587645027227)	('>100', 5.5788292123583405)	('>500', 0.35969221585138206)	('>1k', 0.07559745676510209)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605267_1	(1.0, 22.893519564971584)	(2.0, 12.921463315364361)	(3.0, 9.264007561403188)	(4.0, 6.977852206614492)	(5.0, 5.55973389752523)	(6.0, 4.52352734156359)	(7.0, 3.61623508692642)	(8.0, 3.090408274648409)	(9.0, 2.565766621776342)	('>10', 22.049926852320006)	('>50', 2.802514559853445)	('>100', 2.174407497160692)	('>500', 0.026055389040897495)	('>1k', 0.4822003283484734)	('>5k', 0.6222093022906792)	('>10k+', 0.4301722001922641)
SRR11605267_2	(1.0, 37.359949067115274)	(2.0, 11.978667152714593)	(3.0, 8.197464756874425)	(4.0, 5.969470849148493)	(5.0, 4.666850167055172)	(6.0, 3.790908039975569)	(7.0, 3.0379390977123784)	(8.0, 2.5766521651119447)	(9.0, 2.0866672089398057)	('>10', 16.601795470721033)	('>50', 2.152815132635786)	('>100', 1.4143357112506174)	('>500', 0.02442270698358335)	('>1k', 0.033858290697473994)	('>5k', 0.10820418306381932)	('>10k+', 0.0)
SRR11605267_kneaddata_paired_1	(1.0, 22.424977653459003)	(2.0, 14.152799820124992)	(3.0, 9.923779032718976)	(4.0, 7.473393002624)	(5.0, 5.771402379569683)	(6.0, 4.744529032262937)	(7.0, 3.76204000740358)	(8.0, 3.114196589749153)	(9.0, 2.7342434650962506)	('>10', 21.253100658794967)	('>50', 2.696940487823835)	('>100', 1.8984999257658186)	('>500', 0.014163816799833227)	('>1k', 0.035934127806984295)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605267_kneaddata_paired_2	(1.0, 31.310716670701915)	(2.0, 13.362498590096042)	(3.0, 9.130409482379674)	(4.0, 6.657212959008298)	(5.0, 5.15869509726814)	(6.0, 4.158461462081293)	(7.0, 3.3996399848279553)	(8.0, 2.7710399081813275)	(9.0, 2.2903014003692777)	('>10', 18.004202980534366)	('>50', 2.2922483917116283)	('>100', 1.3940524612705232)	('>500', 0.012839030982658537)	('>1k', 0.05768158058692562)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605268_1	(1.0, 23.580507384312618)	(2.0, 13.65511610441609)	(3.0, 9.270231682893588)	(4.0, 6.708458459583093)	(5.0, 5.035805480342416)	(6.0, 4.148956054898559)	(7.0, 3.2562346845211545)	(8.0, 2.803364920623826)	(9.0, 2.33768393704669)	('>10', 22.015188423254266)	('>50', 3.579020328740041)	('>100', 2.9138213142767566)	('>500', 0.3222950556098528)	('>1k', 0.05306278334298382)	('>5k', 0.10841471124526465)	('>10k+', 0.21183867489278269)
SRR11605268_2	(1.0, 25.334226974780016)	(2.0, 13.61094643161227)	(3.0, 9.2271214770729)	(4.0, 6.5066886877604215)	(5.0, 5.046154361266209)	(6.0, 3.991756934892459)	(7.0, 3.2009078929571317)	(8.0, 2.639218866756887)	(9.0, 2.281316674251634)	('>10', 21.580588972868576)	('>50', 3.4872806090746304)	('>100', 2.6783189415126936)	('>500', 0.33185087664953267)	('>1k', 0.08362229854454374)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605268_kneaddata_paired_1	(1.0, 22.511415545746765)	(2.0, 14.107281854148363)	(3.0, 9.514462235921943)	(4.0, 6.850025225768352)	(5.0, 5.1867452729474985)	(6.0, 4.2655760163842205)	(7.0, 3.328898231018415)	(8.0, 2.8635203526282655)	(9.0, 2.3745915238185984)	('>10', 22.21134581728899)	('>50', 3.5535032106248)	('>100', 2.8612685761726753)	('>500', 0.3171832803563778)	('>1k', 0.05418285717483)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605268_kneaddata_paired_2	(1.0, 23.85797217468403)	(2.0, 14.05396961474182)	(3.0, 9.502778157748264)	(4.0, 6.674774714370788)	(5.0, 5.165817715899329)	(6.0, 4.1132820321978585)	(7.0, 3.246445671116613)	(8.0, 2.67591895011688)	(9.0, 2.3190705690576325)	('>10', 21.821793404991947)	('>50', 3.494052446738074)	('>100', 2.655059154519856)	('>500', 0.34001525902990876)	('>1k', 0.07905013478689102)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605269_1	(1.0, 37.497094661096256)	(2.0, 19.184588716591172)	(3.0, 10.718007282361626)	(4.0, 6.340969951128342)	(5.0, 3.967404050516189)	(6.0, 2.699313271201053)	(7.0, 1.9553640163669994)	(8.0, 1.5258698932481656)	(9.0, 1.226113654517793)	('>10', 11.883259340733975)	('>50', 2.1484576136018236)	('>100', 0.833361032763174)	('>500', 0.020196515873457666)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605269_2	(1.0, 39.03896310274731)	(2.0, 19.28027657514401)	(3.0, 10.63278895483596)	(4.0, 6.10802594948101)	(5.0, 3.804093738916423)	(6.0, 2.667483861505817)	(7.0, 1.9043790155264761)	(8.0, 1.388493347377334)	(9.0, 1.206819042588371)	('>10', 11.179903128338408)	('>50', 1.9989553757574503)	('>100', 0.7498244877939062)	('>500', 0.01583304189402276)	('>1k', 0.024160378093543846)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605269_kneaddata_paired_1	(1.0, 36.91270499002523)	(2.0, 19.561871981356827)	(3.0, 10.836853149512244)	(4.0, 6.349673455816294)	(5.0, 3.967925358821773)	(6.0, 2.737924695492089)	(7.0, 1.9754999777938709)	(8.0, 1.5412683682207367)	(9.0, 1.2365143377028007)	('>10', 11.933750127368933)	('>50', 2.1239516716793125)	('>100', 0.801224420470889)	('>500', 0.02083746573896238)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605269_kneaddata_paired_2	(1.0, 38.07512112564423)	(2.0, 19.74209800828632)	(3.0, 10.815854149213608)	(4.0, 6.171889664742414)	(5.0, 3.829673317576861)	(6.0, 2.7080215245038675)	(7.0, 1.8727923447176837)	(8.0, 1.432955214366307)	(9.0, 1.202115315670803)	('>10', 11.404939781580522)	('>50', 1.9749140136557646)	('>100', 0.7447854069915453)	('>500', 0.0)	('>1k', 0.024840133050078952)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605270_1	(1.0, 46.44431204354804)	(2.0, 22.490417702195074)	(3.0, 10.68889903589989)	(4.0, 5.21760329209359)	(5.0, 2.8888696775120577)	(6.0, 1.8588964109905255)	(7.0, 1.3518061388474074)	(8.0, 1.014821474921123)	(9.0, 0.8319049657627053)	('>10', 6.369171152923178)	('>50', 0.585969523555719)	('>100', 0.24035948012326372)	('>500', 0.016969101627462315)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605270_2	(1.0, 49.1591469087964)	(2.0, 21.851117986421155)	(3.0, 10.04172605480437)	(4.0, 4.911233558089758)	(5.0, 2.8071281944292608)	(6.0, 1.784101071217027)	(7.0, 1.2787542275388566)	(8.0, 0.8736127807266517)	(9.0, 0.8027616454694214)	('>10', 5.77712092187325)	('>50', 0.48761137135047733)	('>100', 0.20046385534190939)	('>500', 0.02522142394148159)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605270_kneaddata_paired_1	(1.0, 46.13748281828788)	(2.0, 22.868330672273654)	(3.0, 10.617527425999722)	(4.0, 5.248712599693528)	(5.0, 2.8546432452622104)	(6.0, 1.9006442719856842)	(7.0, 1.3394134024057944)	(8.0, 1.03731802121483)	(9.0, 0.8368214690596638)	('>10', 6.345223833208756)	('>50', 0.5646087795157422)	('>100', 0.2321762174770153)	('>500', 0.017097243615497606)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605270_kneaddata_paired_2	(1.0, 48.02473797683601)	(2.0, 22.46937641212481)	(3.0, 10.22350431445746)	(4.0, 5.000167589434551)	(5.0, 2.8864016741127667)	(6.0, 1.7917537781675268)	(7.0, 1.3111329113448267)	(8.0, 0.9112131870490021)	(9.0, 0.7949664414584211)	('>10', 5.88569966757369)	('>50', 0.4803618701194581)	('>100', 0.20254017623533824)	('>500', 0.018144001086146555)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605271_1	(1.0, 27.501701969090238)	(2.0, 15.501731465574247)	(3.0, 9.814189342985005)	(4.0, 6.544995516771557)	(5.0, 4.838146388140994)	(6.0, 3.89514263046507)	(7.0, 3.2065868545783935)	(8.0, 2.5806375912281294)	(9.0, 2.1875844147010106)	('>10', 21.245882659225742)	('>50', 2.104726830427119)	('>100', 0.5650127269675513)	('>500', 0.013661609844972165)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605271_2	(1.0, 30.891943714096815)	(2.0, 14.996733150767469)	(3.0, 9.121219196463544)	(4.0, 6.264592720987892)	(5.0, 4.66450939787051)	(6.0, 3.6491213497216823)	(7.0, 3.0804475988835693)	(8.0, 2.504367653793337)	(9.0, 2.203363315169562)	('>10', 20.172534551868065)	('>50', 1.9267703298049697)	('>100', 0.4962763448209868)	('>500', 0.028120675751555132)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605271_kneaddata_paired_1	(1.0, 26.607746400841144)	(2.0, 15.936092310753756)	(3.0, 9.95950770838757)	(4.0, 6.6446090480490865)	(5.0, 4.9403243992878245)	(6.0, 3.9086882007854524)	(7.0, 3.223629386846923)	(8.0, 2.618714936717262)	(9.0, 2.251840787656898)	('>10', 21.315843532684724)	('>50', 2.0331723149368317)	('>100', 0.5458731880596444)	('>500', 0.013957784992912954)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605271_kneaddata_paired_2	(1.0, 28.97345619154758)	(2.0, 15.553151653549897)	(3.0, 9.48934162826734)	(4.0, 6.462872602216716)	(5.0, 4.745245554155878)	(6.0, 3.804765160607568)	(7.0, 3.1765965569261154)	(8.0, 2.547487445035062)	(9.0, 2.237706279258068)	('>10', 20.606097490590265)	('>50', 1.8929561229485619)	('>100', 0.48528308001600595)	('>500', 0.025040234880945072)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605272_1	(1.0, 20.264115560894403)	(2.0, 14.243112580692486)	(3.0, 10.079884173203897)	(4.0, 6.86430146797338)	(5.0, 5.054626262850961)	(6.0, 3.6926205785198536)	(7.0, 2.9805020613662494)	(8.0, 2.476307713151158)	(9.0, 1.981531913924549)	('>10', 22.293708090728206)	('>50', 5.646685170742551)	('>100', 4.272461220034506)	('>500', 0.07830464747119954)	('>1k', 0.07183855844651338)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605272_2	(1.0, 23.594661035934227)	(2.0, 13.888126423093544)	(3.0, 9.68904017796079)	(4.0, 6.613643627520823)	(5.0, 4.778874769255906)	(6.0, 3.5817874670569285)	(7.0, 2.831199684786048)	(8.0, 2.352211258810365)	(9.0, 1.9967667632326647)	('>10', 21.357133638771426)	('>50', 5.352527483731915)	('>100', 3.8254569684734263)	('>500', 0.06720671346297852)	('>1k', 0.07136398790910203)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605272_kneaddata_paired_1	(1.0, 19.213632494805903)	(2.0, 14.607279599210662)	(3.0, 10.33728806507361)	(4.0, 7.004353777965688)	(5.0, 5.136847888932597)	(6.0, 3.7400064504933868)	(7.0, 2.9973358612559715)	(8.0, 2.5004411821919277)	(9.0, 1.9962723997161456)	('>10', 22.543772738442417)	('>50', 5.654898542533558)	('>100', 4.123696765556318)	('>500', 0.07127696724901822)	('>1k', 0.07289726657270583)	('>5k', 0.0)	('>10k+', 0.0)
SRR11605272_kneaddata_paired_2	(1.0, 21.72643822833956)	(2.0, 14.341995301546406)	(3.0, 10.00113433536161)	(4.0, 6.734554531171308)	(5.0, 4.949834863545489)	(6.0, 3.6575468134326132)	(7.0, 2.9208225336991704)	(8.0, 2.386493712428096)	(9.0, 2.0466072268010116)	('>10', 21.850021925113722)	('>50', 5.457869292398219)	('>100', 3.7847658041596075)	('>500', 0.06899337714248871)	('>1k', 0.0729220548607541)	('>5k', 0.0)	('>10k+', 0.0)
