Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
SRR11605272_2	(150, 7225184.0)																				
SRR11605272_kneaddata_paired_1	(50, 9144.0)	(55, 8131.0)	(60, 8060.0)	(65, 8609.0)	(70, 7767.0)	(75, 7872.0)	(80, 7872.0)	(85, 8057.0)	(90, 8129.0)	(95, 8173.0)	(100, 8749.0)	(105, 8840.0)	(110, 8824.0)	(115, 9248.0)	(120, 9748.0)	(125, 10093.0)	(130, 10130.0)	(135, 10515.0)	(140, 11392.0)	(145, 150726.0)	(150, 6570707.0)
SRR11605272_kneaddata_paired_2	(50, 13054.0)	(55, 13241.0)	(60, 13652.0)	(65, 13551.0)	(70, 13866.0)	(75, 14396.0)	(80, 14709.0)	(85, 14805.0)	(90, 15977.0)	(95, 16648.0)	(100, 16879.0)	(105, 17539.0)	(110, 16971.0)	(115, 18464.0)	(120, 19979.0)	(125, 20103.0)	(130, 22074.0)	(135, 22505.0)	(140, 25786.0)	(145, 264951.0)	(150, 6301636.0)
SRR11605273_1	(150, 7465353.0)																				
SRR11605273_2	(150, 7465353.0)																				
SRR11605273_kneaddata_paired_1	(50, 10257.0)	(55, 9289.0)	(60, 9391.0)	(65, 9630.0)	(70, 8887.0)	(75, 8879.0)	(80, 8701.0)	(85, 8848.0)	(90, 9197.0)	(95, 9188.0)	(100, 9809.0)	(105, 10144.0)	(110, 10305.0)	(115, 11289.0)	(120, 12246.0)	(125, 13336.0)	(130, 14493.0)	(135, 15680.0)	(140, 17514.0)	(145, 162397.0)	(150, 6792430.0)
SRR11605273_kneaddata_paired_2	(50, 9477.0)	(55, 9674.0)	(60, 10191.0)	(65, 10118.0)	(70, 10170.0)	(75, 10714.0)	(80, 10727.0)	(85, 11101.0)	(90, 12202.0)	(95, 12974.0)	(100, 13605.0)	(105, 14760.0)	(110, 14836.0)	(115, 16616.0)	(120, 18555.0)	(125, 19719.0)	(130, 22235.0)	(135, 23561.0)	(140, 27182.0)	(145, 234462.0)	(150, 6649031.0)
SRR11605274_1	(150, 6324381.0)																				
SRR11605274_2	(150, 6324381.0)																				
SRR11605274_kneaddata_paired_1	(50, 9103.0)	(55, 8116.0)	(60, 8132.0)	(65, 8491.0)	(70, 7764.0)	(75, 7675.0)	(80, 7896.0)	(85, 7787.0)	(90, 8063.0)	(95, 8297.0)	(100, 8874.0)	(105, 9476.0)	(110, 9543.0)	(115, 10464.0)	(120, 11437.0)	(125, 12218.0)	(130, 12810.0)	(135, 13936.0)	(140, 15117.0)	(145, 139869.0)	(150, 5734128.0)
SRR11605274_kneaddata_paired_2	(50, 8263.0)	(55, 8458.0)	(60, 8810.0)	(65, 8824.0)	(70, 8943.0)	(75, 9138.0)	(80, 9276.0)	(85, 9535.0)	(90, 10508.0)	(95, 11220.0)	(100, 11724.0)	(105, 12521.0)	(110, 12752.0)	(115, 14196.0)	(120, 15482.0)	(125, 16297.0)	(130, 18313.0)	(135, 19035.0)	(140, 22047.0)	(145, 195986.0)	(150, 5627868.0)
